source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_advanced,efficientnet_b0_advanced,APGD,500,487,68,0.13963039014373715,0.974,2026-05-13 22:53:57
densenet121_advanced,inception_v3_advanced,APGD,500,482,109,0.22614107883817428,0.964,2026-05-13 22:53:58
densenet121_advanced,mobilenet_v2_advanced,APGD,500,485,108,0.22268041237113403,0.97,2026-05-13 22:53:59
densenet121_advanced,resnet18_advanced,APGD,500,476,135,0.28361344537815125,0.952,2026-05-13 22:53:59
densenet121_advanced,swin_t_advanced,APGD,500,458,48,0.10480349344978165,0.916,2026-05-13 22:54:01
densenet121_advanced,densenet121_adv_passive,APGD,500,490,54,0.11020408163265306,0.98,2026-05-13 22:54:02
densenet121_advanced,efficientnet_b0_adv_passive,APGD,500,498,10,0.020080321285140562,0.996,2026-05-13 22:54:02
densenet121_advanced,inception_v3_adv_passive,APGD,500,489,19,0.03885480572597137,0.978,2026-05-13 22:54:03
densenet121_advanced,mobilenet_v2_adv_passive,APGD,500,494,17,0.03441295546558704,0.988,2026-05-13 22:54:04
densenet121_advanced,resnet18_adv_passive,APGD,500,495,27,0.05454545454545454,0.99,2026-05-13 22:54:04
densenet121_advanced,swin_t_adv_passive,APGD,500,491,17,0.034623217922606926,0.982,2026-05-13 22:54:05
densenet121_advanced,efficientnet_b0_advanced,APGDT,500,486,46,0.09465020576131687,0.972,2026-05-13 23:00:38
densenet121_advanced,inception_v3_advanced,APGDT,500,480,65,0.13541666666666666,0.96,2026-05-13 23:00:39
densenet121_advanced,mobilenet_v2_advanced,APGDT,500,485,58,0.11958762886597939,0.97,2026-05-13 23:00:39
densenet121_advanced,resnet18_advanced,APGDT,500,480,60,0.125,0.96,2026-05-13 23:00:40
densenet121_advanced,swin_t_advanced,APGDT,500,448,34,0.07589285714285714,0.896,2026-05-13 23:00:41
densenet121_advanced,densenet121_adv_passive,APGDT,500,494,24,0.048582995951417005,0.988,2026-05-13 23:00:42
densenet121_advanced,efficientnet_b0_adv_passive,APGDT,500,499,6,0.012024048096192385,0.998,2026-05-13 23:00:42
densenet121_advanced,inception_v3_adv_passive,APGDT,500,490,6,0.012244897959183673,0.98,2026-05-13 23:00:43
densenet121_advanced,mobilenet_v2_adv_passive,APGDT,500,496,16,0.03225806451612903,0.992,2026-05-13 23:00:43
densenet121_advanced,resnet18_adv_passive,APGDT,500,488,8,0.01639344262295082,0.976,2026-05-13 23:00:44
densenet121_advanced,swin_t_adv_passive,APGDT,500,491,12,0.024439918533604887,0.982,2026-05-13 23:00:45
densenet121_advanced,efficientnet_b0_advanced,BIM,500,486,129,0.2654320987654321,0.972,2026-05-13 23:05:56
densenet121_advanced,inception_v3_advanced,BIM,500,480,159,0.33125,0.96,2026-05-13 23:05:57
densenet121_advanced,mobilenet_v2_advanced,BIM,500,485,127,0.2618556701030928,0.97,2026-05-13 23:05:58
densenet121_advanced,resnet18_advanced,BIM,500,480,202,0.42083333333333334,0.96,2026-05-13 23:05:58
densenet121_advanced,swin_t_advanced,BIM,500,448,60,0.13392857142857142,0.896,2026-05-13 23:05:59
densenet121_advanced,densenet121_adv_passive,BIM,500,494,79,0.15991902834008098,0.988,2026-05-13 23:06:00
densenet121_advanced,efficientnet_b0_adv_passive,BIM,500,499,19,0.03807615230460922,0.998,2026-05-13 23:06:01
densenet121_advanced,inception_v3_adv_passive,BIM,500,490,28,0.05714285714285714,0.98,2026-05-13 23:06:01
densenet121_advanced,mobilenet_v2_adv_passive,BIM,500,496,32,0.06451612903225806,0.992,2026-05-13 23:06:02
densenet121_advanced,resnet18_adv_passive,BIM,500,488,39,0.07991803278688525,0.976,2026-05-13 23:06:02
densenet121_advanced,swin_t_adv_passive,BIM,500,491,30,0.06109979633401222,0.982,2026-05-13 23:06:03
densenet121_advanced,efficientnet_b0_advanced,CW,500,481,2,0.004158004158004158,0.962,2026-05-13 23:19:54
densenet121_advanced,inception_v3_advanced,CW,500,475,5,0.010526315789473684,0.95,2026-05-13 23:19:54
densenet121_advanced,mobilenet_v2_advanced,CW,500,490,6,0.012244897959183673,0.98,2026-05-13 23:19:55
densenet121_advanced,resnet18_advanced,CW,500,478,6,0.012552301255230125,0.956,2026-05-13 23:19:55
densenet121_advanced,swin_t_advanced,CW,500,452,7,0.015486725663716814,0.904,2026-05-13 23:19:57
densenet121_advanced,densenet121_adv_passive,CW,500,494,1,0.0020242914979757085,0.988,2026-05-13 23:19:57
densenet121_advanced,efficientnet_b0_adv_passive,CW,500,500,0,0.0,1.0,2026-05-13 23:19:58
densenet121_advanced,inception_v3_adv_passive,CW,500,490,0,0.0,0.98,2026-05-13 23:19:59
densenet121_advanced,mobilenet_v2_adv_passive,CW,500,499,0,0.0,0.998,2026-05-13 23:19:59
densenet121_advanced,resnet18_adv_passive,CW,500,496,3,0.006048387096774193,0.992,2026-05-13 23:20:00
densenet121_advanced,swin_t_adv_passive,CW,500,495,1,0.00202020202020202,0.99,2026-05-13 23:20:01
densenet121_advanced,efficientnet_b0_advanced,DeepFool,500,487,0,0.0,0.974,2026-05-13 23:31:55
densenet121_advanced,inception_v3_advanced,DeepFool,500,482,3,0.006224066390041493,0.964,2026-05-13 23:31:56
densenet121_advanced,mobilenet_v2_advanced,DeepFool,500,486,1,0.00205761316872428,0.972,2026-05-13 23:31:56
densenet121_advanced,resnet18_advanced,DeepFool,500,486,5,0.0102880658436214,0.972,2026-05-13 23:31:57
densenet121_advanced,swin_t_advanced,DeepFool,500,462,3,0.006493506493506494,0.924,2026-05-13 23:31:58
densenet121_advanced,densenet121_adv_passive,DeepFool,500,493,1,0.002028397565922921,0.986,2026-05-13 23:31:59
densenet121_advanced,efficientnet_b0_adv_passive,DeepFool,500,500,0,0.0,1.0,2026-05-13 23:31:59
densenet121_advanced,inception_v3_adv_passive,DeepFool,500,488,2,0.004098360655737705,0.976,2026-05-13 23:32:00
densenet121_advanced,mobilenet_v2_adv_passive,DeepFool,500,496,0,0.0,0.992,2026-05-13 23:32:01
densenet121_advanced,resnet18_adv_passive,DeepFool,500,493,1,0.002028397565922921,0.986,2026-05-13 23:32:01
densenet121_advanced,swin_t_adv_passive,DeepFool,500,493,0,0.0,0.986,2026-05-13 23:32:02
densenet121_advanced,efficientnet_b0_advanced,DIFGSM,500,491,117,0.23828920570264767,0.982,2026-05-13 23:37:15
densenet121_advanced,inception_v3_advanced,DIFGSM,500,480,176,0.36666666666666664,0.96,2026-05-13 23:37:16
densenet121_advanced,mobilenet_v2_advanced,DIFGSM,500,485,142,0.2927835051546392,0.97,2026-05-13 23:37:16
densenet121_advanced,resnet18_advanced,DIFGSM,500,485,232,0.47835051546391755,0.97,2026-05-13 23:37:17
densenet121_advanced,swin_t_advanced,DIFGSM,500,462,73,0.15800865800865802,0.924,2026-05-13 23:37:18
densenet121_advanced,densenet121_adv_passive,DIFGSM,500,494,69,0.1396761133603239,0.988,2026-05-13 23:37:19
densenet121_advanced,efficientnet_b0_adv_passive,DIFGSM,500,500,20,0.04,1.0,2026-05-13 23:37:19
densenet121_advanced,inception_v3_adv_passive,DIFGSM,500,490,33,0.0673469387755102,0.98,2026-05-13 23:37:20
densenet121_advanced,mobilenet_v2_adv_passive,DIFGSM,500,496,35,0.07056451612903226,0.992,2026-05-13 23:37:21
densenet121_advanced,resnet18_adv_passive,DIFGSM,500,493,63,0.12778904665314403,0.986,2026-05-13 23:37:21
densenet121_advanced,swin_t_adv_passive,DIFGSM,500,496,29,0.05846774193548387,0.992,2026-05-13 23:37:22
densenet121_advanced,efficientnet_b0_advanced,EADEN,500,480,2,0.004166666666666667,0.96,2026-05-14 00:46:24
densenet121_advanced,inception_v3_advanced,EADEN,500,473,5,0.010570824524312896,0.946,2026-05-14 00:46:25
densenet121_advanced,mobilenet_v2_advanced,EADEN,500,485,5,0.010309278350515464,0.97,2026-05-14 00:46:25
densenet121_advanced,resnet18_advanced,EADEN,500,475,5,0.010526315789473684,0.95,2026-05-14 00:46:26
densenet121_advanced,swin_t_advanced,EADEN,500,456,5,0.010964912280701754,0.912,2026-05-14 00:46:27
densenet121_advanced,densenet121_adv_passive,EADEN,500,493,1,0.002028397565922921,0.986,2026-05-14 00:46:28
densenet121_advanced,efficientnet_b0_adv_passive,EADEN,500,498,0,0.0,0.996,2026-05-14 00:46:28
densenet121_advanced,inception_v3_adv_passive,EADEN,500,484,1,0.002066115702479339,0.968,2026-05-14 00:46:29
densenet121_advanced,mobilenet_v2_adv_passive,EADEN,500,494,0,0.0,0.988,2026-05-14 00:46:30
densenet121_advanced,resnet18_adv_passive,EADEN,500,487,0,0.0,0.974,2026-05-14 00:46:30
densenet121_advanced,swin_t_adv_passive,EADEN,500,489,0,0.0,0.978,2026-05-14 00:46:31
densenet121_advanced,efficientnet_b0_advanced,EADL1,500,489,1,0.002044989775051125,0.978,2026-05-14 01:55:47
