source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,APGD,500,500,30,0.06,1.0,2026-04-18 12:36:00
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,APGD,500,500,30,0.06,1.0,2026-04-18 12:36:00
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,APGD,500,500,49,0.098,1.0,2026-04-18 12:36:02
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,APGD,500,500,47,0.094,1.0,2026-04-18 12:37:34
densenet121_adv_preattacked_20260415,resnet18_advanced,APGD,500,500,46,0.092,1.0,2026-04-18 12:37:35
densenet121_adv_preattacked_20260415,densenet121_advanced,APGD,500,500,460,0.92,1.0,2026-04-18 12:37:41
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,APGD,500,500,33,0.066,1.0,2026-04-18 12:37:47
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,APGD,500,500,32,0.064,1.0,2026-04-18 12:37:53
densenet121_adv_preattacked_20260415,vgg16_advanced,APGD,500,500,46,0.092,1.0,2026-04-18 12:39:28
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,APGDT,500,500,18,0.036,1.0,2026-04-18 12:48:11
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,APGDT,500,500,19,0.038,1.0,2026-04-18 12:48:17
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,APGDT,500,500,47,0.094,1.0,2026-04-18 12:48:26
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,APGDT,500,500,51,0.102,1.0,2026-04-18 12:49:45
densenet121_adv_preattacked_20260415,resnet18_advanced,APGDT,500,500,35,0.07,1.0,2026-04-18 12:50:03
densenet121_adv_preattacked_20260415,densenet121_advanced,APGDT,500,500,392,0.784,1.0,2026-04-18 12:50:23
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,APGDT,500,500,25,0.05,1.0,2026-04-18 12:50:30
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,APGDT,500,500,18,0.036,1.0,2026-04-18 12:50:36
densenet121_adv_preattacked_20260415,vgg16_advanced,APGDT,500,500,49,0.098,1.0,2026-04-18 12:51:21
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,BIM,500,500,25,0.05,1.0,2026-04-18 12:56:56
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,BIM,500,500,30,0.06,1.0,2026-04-18 12:57:02
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,BIM,500,500,51,0.102,1.0,2026-04-18 12:57:10
